Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKSave%,#OPA/90,#OPA,PSxG,PsxG+/-,/90,
1,Arindam Bhattacharya,in IND,GK,NorthEast Utd,33,1989,10,10,900,10,30,3,60,33,53.3,0,1,9,0,0,3,2,1,0,33.3,0.33,3,23.18,-6.82,-0.68,Arindam Bhattacharya
2,Devansh Dabas,in IND,GK,Chennaiyin,20,2001,1,1,90,1,2,2,7,5,71.4,0,0,1,0,0,0,0,0,0,,1.29,1,2.1,-0.22,-0.2,Devansh Dabas
3,Lalbiakhlua Jongte,in IND,GK,Hyderabad FC,20,2002,1,1,90,1,3,3,6,4,66.7,0,0,1,0,0,1,1,0,0,0,0.46,0,6,0.15,0.15,Lalbiakhlua Jongte
4,Vishal Kaith,in IND,GK,Mohun Bagan,26,1996,20,20,1800,20,17,0.85,77,60,79.2,10,4,6,9,45,1,1,0,0,0,1.9,38,17.1,0.1,0.01,Vishal Kaith
5,Laxmikant Kattimani,in IND,GK,Hyderabad FC,33,1989,6,6,487,5.4,3,0.55,16,13,81.3,5,1,0,5,83.3,1,0,0,1,,0.57,3,6.67,-3.22,0.25,Laxmikant Kattimani
6,Anuj Kumar,in IND,GK,Hyderabad FC,24,1998,2,1,143,1.6,1,0.63,5,4,80,0,0,1,1,100,0,0,0,0,,1.42,2,1.57,0.57,-0.36,Anuj Kumar
7,Phurba Lachenpa,in IND,GK,Mumbai City,24,1998,20,20,1800,20,21,1.05,69,49,71,14,4,2,7,35,1,1,0,0,0,0.62,12,19.57,-1.43,-0.07,Phurba Lachenpa
8,Debjit Majumder,in IND,GK,Chennaiyin,34,1988,9,9,801,8.9,19,2.13,40,24,60,4,2,3,1,11.1,3,3,0,0,0,1.46,13,18.37,-0.63,-0.07,Debjit Majumder
9,Mirshad Michu,in IND,GK,NorthEast Utd,28,1994,10,10,900,10,25,2.5,78,56,70.5,1,1,8,1,10,3,2,1,0,33.3,0.44,4,25.07,0.07,0.01,Mirshad Michu
10,Samik Mitra,in IND,GK,Chennaiyin,21,2000,10,10,900,10,16,1.6,42,27,64.3,3,4,3,2,20,1,1,0,0,0,3.75,38,16.37,0.37,0.04,Samik Mitra
11,Suvam Sen,in IND,GK,East Bengal,32,1989,3,3,270,3,6,2,17,11,64.7,1,0,2,0,0,0,0,0,0,,0.36,1,7.71,1.71,0.57,Suvam Sen
12,Amrinder Singh,in IND,GK,Odisha,29,1993,20,20,1800,20,32,1.6,82,52,63.4,9,3,8,2,10,2,2,0,0,0,0.92,18,56.49,0.25,0.01,Amrinder Singh
13,Arshdeep Singh,in IND,GK,Goa,24,1997,2,1,122,1.4,1,0.74,3,2,66.7,0,0,1,1,100,0,0,0,0,,0.3,0,3,-0.95,-0.68,Arshdeep Singh
14,Dheeraj Singh,in IND,GK,Goa,22,2000,19,19,1678,18.6,34,1.82,62,35,56.5,8,3,8,4,21.1,7,7,0,0,0,1.25,23,43.6,1.2,-0.29,Dheeraj Singh
15,Gurmeet Singh,in IND,GK,Hyderabad FC,23,1999,12,12,1080,12,9,0.75,37,29,78.4,8,2,2,5,41.7,1,1,0,0,0,0.39,5,11.6,2.6,0.22,Gurmeet Singh
16,Kamaljit Singh,in IND,GK,East Bengal,26,1995,17,17,1530,17,32,1.88,85,54,63.5,5,1,11,3,17.6,2,1,0,1,0,1.23,21,32.62,0.62,-0.04,Kamaljit Singh
17,Karanjit Singh,in IND,GK,Kerala Blasters,36,1986,2,2,180,2,1,0.5,6,5,83.3,1,0,1,1,50,0,0,0,0,,0.28,1,17.75,1.6,0.8,Karanjit Singh
18,Prabhsukhan Singh,in IND,GK,Kerala Blasters,21,2001,18,18,1620,18,27,1.5,64,38,60.9,9,1,8,4,22.2,2,2,0,0,0,1.34,24,32.69,5.69,0.32,Prabhsukhan Singh
19,Gurpreet Singh Sandhu,in IND,GK,Bengaluru,30,1992,20,20,1800,20,23,1.15,78,57,73.1,11,1,8,5,25,2,2,0,0,0,0.42,8,5.42,-5.56,-0.28,Gurpreet Singh Sandhu
20,Rehenesh TP,in IND,GK,Jamshedpur,29,1993,11,11,990,11,17,1.55,43,26,60.5,2,2,7,3,27.3,0,0,0,0,,0.99,11,41.03,0.79,-0.07,Rehenesh TP
21,Vishal Yadav,in IND,GK,Jamshedpur,20,2002,9,9,810,9,15,1.67,40,28,67.5,3,2,4,1,11.1,3,2,1,0,33.3,0.48,4,16.5,1.5,0.17,Vishal Yadav
