Rk,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
1,Bengaluru,21,28.6,46.8,20,220,1800,20,27,19,46,26,1,1,31,0,1.35,0.95,2.3,1.3,2.25
2,Chennaiyin,27,27.2,50.9,20,220,1800,20,34,26,60,31,3,3,32,3,1.7,1.3,3,1.55,2.85
3,East Bengal,27,27.9,44.3,20,220,1800,20,22,15,37,19,3,3,48,2,1.1,0.75,1.85,0.95,1.7
4,Goa,25,26.8,58.6,20,220,1800,20,36,29,65,34,2,3,27,1,1.8,1.45,3.25,1.7,3.15
5,Hyderabad FC,25,27.5,50,20,220,1800,20,34,23,57,32,2,4,23,0,1.7,1.15,2.85,1.6,2.75
6,Jamshedpur,25,28,41.2,20,220,1800,20,20,12,32,18,2,2,33,2,1,0.6,1.6,0.9,1.5
7,Kerala Blasters,25,26.2,53,20,220,1800,20,28,22,50,26,2,2,48,1,1.4,1.1,2.5,1.3,2.4
8,Mohun Bagan,25,27.2,52.4,20,220,1800,20,23,19,42,22,1,1,44,2,1.15,0.95,2.1,1.1,2.05
9,Mumbai City,26,28.2,58.1,20,220,1800,20,51,28,79,47,4,6,35,0,2.55,1.4,3.95,2.35,3.75
10,NorthEast Utd,30,27.8,43.4,20,220,1800,20,20,12,32,15,5,5,48,1,1,0.6,1.6,0.75,1.35
11,Odisha,23,26.7,51.9,20,220,1800,20,28,20,48,25,3,3,32,2,1.4,1,2.4,1.25,2.25
